gene_name	HQ10E1	HQ10E2	HQE1	HQE2	HQ_ST1	HQ_ST2	PWE1	PWE2	PW_ST1	PW_ST2
Phatr3_J31400	1	5	3	7	0	4	2	1	10	20
Phatr3_J42422	144	172	214	153	402	451	117	101	203	253
Phatr3_J31402	0	0	0	0	0	0	0	0	0	0
Phatr3_J42423	27	44	77	42	557	508	46	39	110	304
Phatr3_J42424	1819	2172	1876	1254	1524	1841	1518	1508	1035	1562
Phatr3_J7430	455	510	620	443	467	513	333	456	337	364
Phatr3_J42426	8520	9594	8689	7289	5396	7052	6769	7244	5813	8494
Phatr3_EG02408	3806	4483	3948	2637	224	238	3580	3084	216	368
Phatr3_J31409	6448	7590	9257	5980	1008	1394	4863	4622	1381	1864
Phatr3_J42428	724	855	514	424	656	903	880	644	380	572
Phatr3_J42429	1747	1981	2134	1377	2150	2386	1650	1699	1427	1398
Phatr3_EG01843	632	667	923	598	946	1081	473	577	734	948
Phatr3_J42431	268	300	325	229	325	463	233	249	302	401
Phatr3_J42432	487	453	537	407	388	522	519	526	444	566
Phatr3_J4937	6608	7884	7049	4583	3737	5446	6837	6271	2997	3700
Phatr3_J42434	6341	7253	6151	4495	4219	6265	6746	6330	2619	4257
Phatr3_J9344	906	1065	895	562	123	137	618	505	111	449
Phatr3_J8866	2680	3441	3337	2434	1283	1854	2670	2715	574	1700
Phatr3_J42437	52	63	77	49	114	131	58	61	61	130
Phatr3_J31420	508	609	770	517	822	1021	423	492	526	655
Phatr3_J9252	1108	1217	1114	834	600	738	1194	1311	1147	1429
Phatr3_J42439	1436	1579	1454	1113	1086	1421	1696	1726	488	1238
Phatr3_J31423	138	179	253	140	228	285	159	144	86	139
Phatr3_J42440	565	763	784	549	247	354	555	583	251	545
Phatr3_J42441	2885	3407	3317	2036	2043	2028	2201	2304	1139	1484
Phatr3_J42442	7441	8882	8449	5927	3999	6450	8811	9294	5578	7577
Phatr3_J6387	428	540	684	497	668	952	394	476	533	593
Phatr3_J42443	1016	1084	2055	1328	2149	3368	1368	1482	2897	1927
Phatr3_J31429	425	503	362	321	197	332	361	309	156	288
Phatr3_EG01838	1	1	1	0	0	6	1	1	0	0
Phatr3_J53929	1162	1375	1324	1149	403	563	1206	1308	180	374
Phatr3_EG01882	646	684	1406	984	6663	7588	843	787	6835	9437
Phatr3_J31431	2	0	1	0	0	0	0	0	1	3
