Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HQ10E1_1	63.42654864179691	52.0	150.0	9.090909090909092	23551403.0
HQ10E1_2	63.10605190315334	52.0	150.0	9.090909090909092	23551403.0
HQ10E2_1	64.01263021997875	52.0	150.0	9.090909090909092	26688235.0
HQ10E2_2	62.797657380931724	52.0	150.0	9.090909090909092	26688235.0
HQE1_1	63.828109766353194	52.0	150.0	9.090909090909092	26535998.0
HQE1_2	62.83423405950735	52.0	150.0	9.090909090909092	26535998.0
HQE2_1	59.57930768717789	52.0	150.0	9.090909090909092	19332203.0
HQE2_2	58.801052360716554	52.0	150.0	9.090909090909092	19332203.0
HQ_ST1_1	59.865724921665546	51.0	150.0	9.090909090909092	18270958.0
HQ_ST1_2	58.75067670059427	50.0	150.0	9.090909090909092	18270958.0
HQ_ST2_1	64.36094840451455	51.0	150.0	9.090909090909092	22481656.0
HQ_ST2_2	63.6773651124261	51.0	150.0	9.090909090909092	22481656.0
PWE1_1	61.5822160958399	52.0	150.0	9.090909090909092	22364529.0
PWE1_2	59.67040690249401	52.0	150.0	9.090909090909092	22364529.0
PWE2_1	64.5685528297945	52.0	150.0	9.090909090909092	22976366.0
PWE2_2	64.19142323526091	52.0	150.0	9.090909090909092	22976366.0
PW_ST1_1	65.98432907480017	51.0	150.0	9.090909090909092	21253694.0
PW_ST1_2	65.21223524863444	51.0	150.0	9.090909090909092	21253694.0
PW_ST2_1	68.29733152611666	51.0	150.0	9.090909090909092	26092202.0
PW_ST2_2	66.89364335379275	51.0	150.0	9.090909090909092	26092202.0
