Sample	pairs_processed	r1_with_adapters	r2_with_adapters	pairs_too_short	pairs_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
HQ10E1_2	23551403	542058	540914	21374	23530029	7065420900	7096090	7026739438	0.5474756924955454
HQ10E2_2	26688235	399295	399884	22288	26665947	8006470500	9661715	7970253086	0.45235180720393586
HQE1_2	26535998	453925	455116	23560	26512438	7960799400	8824952	7922420846	0.4820942228490269
HQE2_2	19332203	703448	700253	17660	19314543	5799660900	6389443	5754219764	0.7835136706009829
HQ_ST1_2	18270958	575768	573495	19446	18251512	5481287400	7117969	5441467786	0.7264646258103525
HQ_ST2_2	22481656	699219	696639	23800	22457856	6744496800	8536049	6696879626	0.7060152211800294
PWE1_2	22364529	516687	516029	24157	22340372	6709358700	8904517	6668569658	0.607942484875641
PWE2_2	22976366	945548	942695	31648	22944718	6892909800	9762339	6834065958	0.8536865229253399
PW_ST1_2	21253694	529637	527825	24462	21229232	6376108200	8041844	6336399004	0.622781087686059
PW_ST2_2	26092202	710715	709480	24598	26067604	7827660600	8576226	7779612587	0.6138234072131334
